[2019-11-20 18:41:06] [INFO   ] testuser-10863: Server ending handshake with testuser-10129 
[2019-11-20 18:41:06] [INFO   ] testuser-10863: New peer 'testuser-10129' has been confirmed 
[2019-11-20 18:41:06] [INFO   ] testuser-10863: Server beginning handshake with testuser-10129 
[2019-11-20 18:41:06] [INFO   ] testuser-10863: Client ending handshake with testuser-10129 
[2019-11-20 18:41:06] [INFO   ] testuser-10863: Server ending handshake with testuser-10129 
[2019-11-20 18:41:08] [INFO   ] testuser-10863: Server beginning handshake with testuser-10328 
[2019-11-20 18:41:08] [INFO   ] testuser-10863: Attempting to connect to IP: localhost, port: 10328 
[2019-11-20 18:41:08] [INFO   ] testuser-10863: Connected to IP: localhost, port: 10328 
[2019-11-20 18:41:08] [INFO   ] testuser-10863: Client starting handshake 
[2019-11-20 18:41:08] [INFO   ] testuser-10863: Server ending handshake with testuser-10328 
[2019-11-20 18:41:08] [INFO   ] testuser-10863: New peer 'testuser-10328' has been confirmed 
[2019-11-20 18:41:08] [INFO   ] testuser-10863: Server beginning handshake with testuser-10328 
[2019-11-20 18:41:08] [INFO   ] testuser-10863: Client ending handshake with testuser-10328 
[2019-11-20 18:41:08] [INFO   ] testuser-10863: Server ending handshake with testuser-10328 
[2019-11-20 18:41:10] [INFO   ] testuser-10863: Attempting to connect to IP: localhost, port: 10528 
[2019-11-20 18:41:10] [INFO   ] testuser-10863: Connected to IP: localhost, port: 10528 
[2019-11-20 18:41:10] [INFO   ] testuser-10863: Client starting handshake 
[2019-11-20 18:41:10] [INFO   ] testuser-10863: Attempting to connect to IP: localhost, port: 10528 
[2019-11-20 18:41:10] [INFO   ] testuser-10863: Connected to IP: localhost, port: 10528 
[2019-11-20 18:41:10] [INFO   ] testuser-10863: Attempting to connect to IP: localhost, port: 10528 
[2019-11-20 18:41:10] [INFO   ] testuser-10863: Connected to IP: localhost, port: 10528 
[2019-11-20 18:41:10] [INFO   ] testuser-10863: Client starting handshake 
[2019-11-20 18:41:10] [INFO   ] testuser-10863: Client starting handshake 
[2019-11-20 18:41:10] [INFO   ] testuser-10863: Attempting to connect to IP: localhost, port: 10528 
[2019-11-20 18:41:10] [INFO   ] testuser-10863: Connected to IP: localhost, port: 10528 
[2019-11-20 18:41:11] [INFO   ] testuser-10863: Attempting to connect to IP: localhost, port: 10528 
[2019-11-20 18:41:11] [INFO   ] testuser-10863: Connected to IP: localhost, port: 10528 
[2019-11-20 18:41:11] [INFO   ] testuser-10863: Client starting handshake 
[2019-11-20 18:41:11] [INFO   ] testuser-10863: Client starting handshake 
[2019-11-20 18:41:11] [INFO   ] testuser-10863: Attempting to connect to IP: localhost, port: 10528 
[2019-11-20 18:41:11] [INFO   ] testuser-10863: Connected to IP: localhost, port: 10528 
[2019-11-20 18:41:11] [INFO   ] testuser-10863: Attempting to connect to IP: localhost, port: 10528 
[2019-11-20 18:41:11] [INFO   ] testuser-10863: Connected to IP: localhost, port: 10528 
[2019-11-20 18:41:11] [INFO   ] testuser-10863: Client starting handshake 
[2019-11-20 18:41:11] [INFO   ] testuser-10863: Client starting handshake 
[2019-11-20 18:41:11] [INFO   ] testuser-10863: Server beginning handshake with testuser-10528 
[2019-11-20 18:41:11] [INFO   ] testuser-10863: Client ending handshake with testuser-10528 
[2019-11-20 18:41:11] [INFO   ] testuser-10863: New peer 'testuser-10528' has been confirmed 
[2019-11-20 18:41:12] [INFO   ] testuser-10863: Client ending handshake with testuser-10528 
[2019-11-20 18:41:12] [INFO   ] testuser-10863: Server beginning handshake with testuser-10528 
[2019-11-20 18:41:12] [INFO   ] testuser-10863: Server beginning handshake with testuser-10528 
[2019-11-20 18:41:12] [INFO   ] testuser-10863: Server ending handshake with testuser-10528 
[2019-11-20 18:41:12] [INFO   ] testuser-10863: Server ending handshake with testuser-10528 
[2019-11-20 18:41:12] [INFO   ] testuser-10863: Server ending handshake with testuser-10528 
[2019-11-20 18:41:12] [INFO   ] testuser-10863: Client ending handshake with testuser-10528 
[2019-11-20 18:41:12] [INFO   ] testuser-10863: Client ending handshake with testuser-10528 
[2019-11-20 18:41:12] [INFO   ] testuser-10863: Client ending handshake with testuser-10528 
[2019-11-20 18:41:12] [INFO   ] testuser-10863: Client ending handshake with testuser-10528 
[2019-11-20 18:41:12] [INFO   ] testuser-10863: Client ending handshake with testuser-10528 
[2019-11-20 18:41:12] [INFO   ] testuser-10863: Server beginning handshake with testuser-10528 
[2019-11-20 18:41:12] [INFO   ] testuser-10863: Server ending handshake with testuser-10528 
[2019-11-20 18:41:12] [INFO   ] testuser-10863: Server beginning handshake with testuser-10528 
[2019-11-20 18:41:12] [INFO   ] testuser-10863: Server beginning handshake with testuser-10528 
[2019-11-20 18:41:12] [INFO   ] testuser-10863: Server ending handshake with testuser-10528 
[2019-11-20 18:41:13] [INFO   ] testuser-10863: Server beginning handshake with testuser-10528 
[2019-11-20 18:41:13] [INFO   ] testuser-10863: Server ending handshake with testuser-10528 
[2019-11-20 18:41:13] [INFO   ] testuser-10863: Server ending handshake with testuser-10528 
[2019-11-20 18:41:13] [INFO   ] testuser-10863: Server beginning handshake with testuser-10528 
[2019-11-20 18:41:13] [INFO   ] testuser-10863: Server ending handshake with testuser-10528 
[2019-11-20 18:41:17] [INFO   ] testuser-10863: Receiving sync info dir 
[2019-11-20 18:41:17] [INFO   ] testuser-10863: Banned user and syncing info dir 
[2019-11-20 18:41:17] [INFO   ] testuser-10863: Receiving sync info dir 
[2019-11-20 18:41:17] [INFO   ] testuser-10863: Receiving sync info dir 
[2019-11-20 18:41:17] [INFO   ] testuser-10863: Receiving sync info dir 
[2019-11-20 18:41:17] [INFO   ] testuser-10863: Receiving sync info dir 
[2019-11-20 18:41:17] [INFO   ] testuser-10863: Receiving sync info dir 
[2019-11-20 18:41:17] [INFO   ] testuser-10863: Receiving sync info dir 
[2019-11-20 18:41:17] [INFO   ] testuser-10863: Receiving sync info dir 
[2019-11-20 18:41:17] [INFO   ] testuser-10863: Receiving sync info dir 
